date,time,username,diggCount,steming_data,Score,Sentiment
2025-06-03,20:38:00,oktevabusokte,0,bangun sinergi kolaborasi depan,0,Netral
2025-04-30,23:01:00,njajanoofficial,0,halo bikin program rumah murah ding warga kota batu asli rumah nikah,3,Positif
2025-04-29,10:56:00,mas_yusuf94,1,assalamualaikum wr wb mohon atensi wilayah rw orooro ombo air mati harap aju sumur bor terima kasih sae,1,Positif
2025-05-09,09:32:00,rinyrizki30,0,riny rizkiriny rizkibagaimana pkl gusur satpol pp jual minggir bakul sempol masjid annur jalan masuk kaum kampanye ya bantu umkm timur toko amal,3,Positif
2025-07-16,00:40:00,.hnaudio,167,teko reken lek moleh gage lek jalok duwek parkir,1,Positif
2025-07-23,09:56:00,whietapriyantto,0,warga batu sajalbh tuju gate parkirkalo tukang parkir tolak gate parkir,0,Netral
2025-07-16,09:13:00,bennyheslax,25,gate parkir tepat lahan parkir tertutupbukan jalan raya lokasi parkir jalan lahan khusus parkir ya pakai gate parkir kasihan bayar tol,6,Positif
2025-07-17,21:02:00,ir6732,3,wali data ktp batu opo batu,-1,Negatif
2025-07-16,18:22:00,sugiarno87,6,parkir beli obat murus parkir batu dikitt dikit parkir,0,Netral
2025-07-16,13:35:00,sonia_ajhe,1,inti ya jalan raya parkir bikin macet,2,Positif
2025-07-17,02:38:00,henny.nur,1,kang parkir mbatu makmur kabeh uripe kaet ndekek dah sumpritane wes muni,0,Netral
2025-07-16,12:26:00,imronsyaroni0,12,parkir tau karcis,0,Netral
2025-07-16,12:47:00,m.a.h.a.r.i.s.k.a,2,lek rame parkir dadi kek i karcis tulis nopol eh tibak e karcis e digae maneh nang sepeda e,-1,Negatif
2025-07-16,06:06:00,rimaramlan,11,heran penjuru tmp parkir kota batu batu beli parkir kali,0,Netral
2025-07-16,18:54:00,poyedane,4,batu butuh zona bebas parkir,-1,Negatif
2025-07-16,10:29:00,hnaviary7,4,alahndk pasar sono seng noto parkire gara ganti gate biyen blonjo sono seng nulung natakno blonjoan ngetokno sepeda sak iki,-1,Negatif
2025-07-16,16:03:00,rickyscoot_1,1,parkir pasar isuk sg repot,0,Netral
2025-07-16,10:32:00,anisssetyawati,5,atm baca batu empat alun parkinya pinggir jalan,-1,Negatif
