date,time,username,diggCount,text,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data,clean_text
2025-06-03,20:38:00,oktevabusokte,0,membangun sinergi dan kolaborasi ke depannya,membangun sinergi dan kolaborasi ke depannya,membangun sinergi dan kolaborasi ke depannya,membangun sinergi dan kolaborasi ke depannya,"['membangun', 'sinergi', 'dan', 'kolaborasi', 'ke', 'depannya']","['membangun', 'sinergi', 'kolaborasi', 'depannya']",bangun sinergi kolaborasi depan,membangun sinergi dan kolaborasi ke depannya
2025-04-30,23:01:00,njajanoofficial,0,"Hallo pak, bikin program rumah murah ding, buat warga” kota batu asli yang belum punya rumah. Khususnya yang baru nikah” 🤭",Hallo pak bikin program rumah murah ding buat warga kota batu asli yang belum punya rumah Khususnya yang baru nikah ,hallo pak bikin program rumah murah ding buat warga kota batu asli yang belum punya rumah khususnya yang baru nikah ,halo pak bikin program rumah murah ding buat warga kota batu asli yang belum punya rumah khususnya yang baru nikah,"['halo', 'pak', 'bikin', 'program', 'rumah', 'murah', 'ding', 'buat', 'warga', 'kota', 'batu', 'asli', 'yang', 'belum', 'punya', 'rumah', 'khususnya', 'yang', 'baru', 'nikah']","['halo', 'bikin', 'program', 'rumah', 'murah', 'ding', 'warga', 'kota', 'batu', 'asli', 'rumah', 'nikah']",halo bikin program rumah murah ding warga kota batu asli rumah nikah,hallo pak bikin program rumah murah ding buat warga kota batu asli yang belum punya rumah khususnya yang baru nikah
2025-04-29,10:56:00,mas_yusuf94,1,"assalamualaikum wr WB pak, mohon atensinya untuk wilayah RW 06 oro-oro Ombo pak, airnya sering mati pak. kami berharap bisa mengajukan sumur bor pak ..terima kasih pak SAE",assalamualaikum wr WB pak mohon atensinya untuk wilayah RW  orooro Ombo pak airnya sering mati pak kami berharap bisa mengajukan sumur bor pak terima kasih pak SAE,assalamualaikum wr wb pak mohon atensinya untuk wilayah rw  orooro ombo pak airnya sering mati pak kami berharap bisa mengajukan sumur bor pak terima kasih pak sae,assalamualaikum wr wb pak mohon atensinya untuk wilayah rw orooro ombo pak airnya sering mati pak kami berharap bisa mengajukan sumur bor pak terima kasih pak sae,"['assalamualaikum', 'wr', 'wb', 'pak', 'mohon', 'atensinya', 'untuk', 'wilayah', 'rw', 'orooro', 'ombo', 'pak', 'airnya', 'sering', 'mati', 'pak', 'kami', 'berharap', 'bisa', 'mengajukan', 'sumur', 'bor', 'pak', 'terima', 'kasih', 'pak', 'sae']","['assalamualaikum', 'wr', 'wb', 'mohon', 'atensinya', 'wilayah', 'rw', 'orooro', 'ombo', 'airnya', 'mati', 'berharap', 'mengajukan', 'sumur', 'bor', 'terima', 'kasih', 'sae']",assalamualaikum wr wb mohon atensi wilayah rw orooro ombo air mati harap aju sumur bor terima kasih sae,assalamualaikum wr wb pak mohon atensinya untuk wilayah rw orooro ombo pak airnya sering mati pak kami berharap bisa mengajukan sumur bor pak terima kasih pak sae
2025-05-09,09:32:00,rinyrizki30,0,"@Riny rizki:@Riny rizki:bagaimana dengan pkl yang masih di gusur oleh satpol pp padahal kita jualannya sudah minggir
dari bakul sempol depan masjid annur jalan masuk ke kauman
padahal kampanye nya membantu umkm
kita minta tempat di timur toko amal pak","Riny rizkiRiny rizkibagaimana dengan pkl yang masih di gusur oleh satpol pp padahal kita jualannya sudah minggir
dari bakul sempol depan masjid annur jalan masuk ke kauman
padahal kampanye nya membantu umkm
kita minta tempat di timur toko amal pak","riny rizkiriny rizkibagaimana dengan pkl yang masih di gusur oleh satpol pp padahal kita jualannya sudah minggir
dari bakul sempol depan masjid annur jalan masuk ke kauman
padahal kampanye nya membantu umkm
kita minta tempat di timur toko amal pak",riny rizkiriny rizkibagaimana dengan pkl yang masih di gusur oleh satpol pp padahal kita jualannya sudah minggir dari bakul sempol depan masjid annur jalan masuk ke kauman padahal kampanye ya membantu umkm kita meminta tempat di timur toko amal pak,"['riny', 'rizkiriny', 'rizkibagaimana', 'dengan', 'pkl', 'yang', 'masih', 'di', 'gusur', 'oleh', 'satpol', 'pp', 'padahal', 'kita', 'jualannya', 'sudah', 'minggir', 'dari', 'bakul', 'sempol', 'depan', 'masjid', 'annur', 'jalan', 'masuk', 'ke', 'kauman', 'padahal', 'kampanye', 'ya', 'membantu', 'umkm', 'kita', 'meminta', 'tempat', 'di', 'timur', 'toko', 'amal', 'pak']","['riny', 'rizkiriny', 'rizkibagaimana', 'pkl', 'gusur', 'satpol', 'pp', 'jualannya', 'minggir', 'bakul', 'sempol', 'masjid', 'annur', 'jalan', 'masuk', 'kauman', 'kampanye', 'ya', 'membantu', 'umkm', 'timur', 'toko', 'amal']",riny rizkiriny rizkibagaimana pkl gusur satpol pp jual minggir bakul sempol masjid annur jalan masuk kaum kampanye ya bantu umkm timur toko amal,riny rizkiriny rizkibagaimana dengan pkl yang masih di gusur oleh satpol pp padahal kita jualannya sudah minggir dari bakul sempol depan masjid annur jalan masuk ke kauman padahal kampanye nya membantu umkm kita minta tempat di timur toko amal pak
2025-07-16,00:40:00,.hnaudio,167,datang tidak dianggap kalo mau pulang cepet-cepet minta uang parkirnya,datang tidak dianggap kalo mau pulang cepetcepet minta uang parkirnya,datang tidak dianggap kalo mau pulang cepetcepet minta uang parkirnya,datang tidak dianggap kalau mau pulang cepetcepet meminta uang parkirnya,"['datang', 'tidak', 'dianggap', 'kalau', 'mau', 'pulang', 'cepetcepet', 'meminta', 'uang', 'parkirnya']","['dianggap', 'pulang', 'cepetcepet', 'uang', 'parkirnya']",anggap pulang cepetcepet uang parkir,datang tidak dianggap kalo mau pulang cepetcepet minta uang parkirnya
2025-07-23,09:56:00,whietapriyantto,0,"nanya warga batu saja,lbh setuju atau gak ada gate parkir,kalo nanya tukang parkirnya pasti menolak gate parkir😂😂",nanya warga batu sajalbh setuju atau gak ada gate parkirkalo nanya tukang parkirnya pasti menolak gate parkir,nanya warga batu sajalbh setuju atau gak ada gate parkirkalo nanya tukang parkirnya pasti menolak gate parkir,bertanya warga batu sajalbh setuju atau tidak ada gate parkirkalo bertanya tukang parkirnya pasti menolak gate parkir,"['bertanya', 'warga', 'batu', 'sajalbh', 'setuju', 'atau', 'tidak', 'ada', 'gate', 'parkirkalo', 'bertanya', 'tukang', 'parkirnya', 'pasti', 'menolak', 'gate', 'parkir']","['warga', 'batu', 'sajalbh', 'setuju', 'gate', 'parkirkalo', 'tukang', 'parkirnya', 'menolak', 'gate', 'parkir']",warga batu sajalbh tuju gate parkirkalo tukang parkir tolak gate parkir,nanya warga batu sajalbh setuju atau gak ada gate parkirkalo nanya tukang parkirnya pasti menolak gate parkir
2025-07-16,09:13:00,bennyheslax,25,"gate parkir itu lebih tepatnya Untuk lahan parkir yg tertutup/bukan jalan raya, jika lokasi parkirnya berupa jalan, bukan lahan khusus parkir, ya lebih baik tidak pakai gate parkir, kasihan yang hanya mau lewat, harus bayar seperti lewat tol.",gate parkir itu lebih tepatnya Untuk lahan parkir yg tertutupbukan jalan raya jika lokasi parkirnya berupa jalan bukan lahan khusus parkir ya lebih baik tidak pakai gate parkir kasihan yang hanya mau lewat harus bayar seperti lewat tol,gate parkir itu lebih tepatnya untuk lahan parkir yg tertutupbukan jalan raya jika lokasi parkirnya berupa jalan bukan lahan khusus parkir ya lebih baik tidak pakai gate parkir kasihan yang hanya mau lewat harus bayar seperti lewat tol,gate parkir itu lebih tepatnya untuk lahan parkir yang tertutupbukan jalan raya jika lokasi parkirnya berupa jalan bukan lahan khusus parkir ya lebih baik tidak pakai gate parkir kasihan yang hanya mau lewat harus bayar seperti lewat tol,"['gate', 'parkir', 'itu', 'lebih', 'tepatnya', 'untuk', 'lahan', 'parkir', 'yang', 'tertutupbukan', 'jalan', 'raya', 'jika', 'lokasi', 'parkirnya', 'berupa', 'jalan', 'bukan', 'lahan', 'khusus', 'parkir', 'ya', 'lebih', 'baik', 'tidak', 'pakai', 'gate', 'parkir', 'kasihan', 'yang', 'hanya', 'mau', 'lewat', 'harus', 'bayar', 'seperti', 'lewat', 'tol']","['gate', 'parkir', 'tepatnya', 'lahan', 'parkir', 'tertutupbukan', 'jalan', 'raya', 'lokasi', 'parkirnya', 'jalan', 'lahan', 'khusus', 'parkir', 'ya', 'pakai', 'gate', 'parkir', 'kasihan', 'bayar', 'tol']",gate parkir tepat lahan parkir tertutupbukan jalan raya lokasi parkir jalan lahan khusus parkir ya pakai gate parkir kasihan bayar tol,gate parkir itu lebih tepatnya untuk lahan parkir yg tertutupbukan jalan raya jika lokasi parkirnya berupa jalan bukan lahan khusus parkir ya lebih baik tidak pakai gate parkir kasihan yang hanya mau lewat harus bayar seperti lewat tol
2025-07-17,21:02:00,ir6732,3,pak wali di data ktp batu apa luar batu,pak wali di data ktp batu apa luar batu,pak wali di data ktp batu apa luar batu,pak wali di data ktp batu apa luar batu,"['pak', 'wali', 'di', 'data', 'ktp', 'batu', 'apa', 'luar', 'batu']","['wali', 'data', 'ktp', 'batu', 'batu']",wali data ktp batu batu,pak wali di data ktp batu apa luar batu
2025-07-16,18:22:00,sugiarno87,6,parkir beli obat 3000 parkir 3000 .batu dikit dikit parkir,parkir beli obat  parkir  batu dikit dikit parkir,parkir beli obat  parkir  batu dikit dikit parkir,parkir beli obat parkir batu dikit dikit parkir,"['parkir', 'beli', 'obat', 'parkir', 'batu', 'dikit', 'dikit', 'parkir']","['parkir', 'beli', 'obat', 'parkir', 'batu', 'dikit', 'dikit', 'parkir']",parkir beli obat parkir batu dikit dikit parkir,parkir beli obat parkir batu dikit dikit parkir
2025-07-16,13:35:00,sonia_ajhe,1,"intinya saya minta satu y jalan raya jgn buat parkir karena bikin macet,,,,!!!!!",intinya saya minta satu y jalan raya jgn buat parkir karena bikin macet,intinya saya minta satu y jalan raya jgn buat parkir karena bikin macet,intinya saya meminta satu ya jalan raya jangan buat parkir karena bikin macet,"['intinya', 'saya', 'meminta', 'satu', 'ya', 'jalan', 'raya', 'jangan', 'buat', 'parkir', 'karena', 'bikin', 'macet']","['intinya', 'ya', 'jalan', 'raya', 'parkir', 'bikin', 'macet']",inti ya jalan raya parkir bikin macet,intinya saya minta satu y jalan raya jgn buat parkir karena bikin macet
