text;diggCount;replyCommentTotal;createTimeISO;uniqueId;videoWebUrl;uid;cid;avatarThumbnail
membangun sinergi dan kolaborasi ke depannya;0;0;03/06/2025 20:38;oktevabusokte;https://www.tiktok.com/@nurochmanheli/video/7498028616949828919;7,00957E+18;7,51172E+18;https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/3eb58cf8a734eabf240197d487a13fa9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=23f24ee5&x-expires=1753326000&x-signature=MBfPgUeHAjblbO7PNcAroHIHOsk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
Hallo pak, bikin program rumah murah ding, buat warga” kota batu asli yang belum punya rumah. Khususnya yang baru nikah” 🤭;0;0;30/04/2025 23:01;njajanoofficial;https://www.tiktok.com/@nurochmanheli/video/7498028616949828919;6,96574E+18;7,49914E+18;https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/71d225b30f19abe8eb9e027534b93c13~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=80c97900&x-expires=1753326000&x-signature=N%2FooFVa1%2BWbsDOoj6hdkLwNMHqc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
assalamualaikum wr WB pak, mohon atensinya untuk wilayah RW 06 oro-oro Ombo pak, airnya sering mati pak. kami berharap bisa mengajukan sumur bor pak ..terima kasih pak SAE;1;0;29/04/2025 10:56;mas_yusuf94;https://www.tiktok.com/@nurochmanheli/video/7498028616949828919;1,41848E+17;7,49858E+18;https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/29f7197e28e411c75da2b6eea2fe0ae1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=32477653&x-expires=1753326000&x-signature=U1792nJWmkiWCZ7Mjsnaexz3cHk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
"@Riny rizki:@Riny rizki:bagaimana dengan pkl yang masih di gusur oleh satpol pp padahal kita jualannya sudah minggir
dari bakul sempol depan masjid annur jalan masuk ke kauman
padahal kampanye nya membantu umkm
kita minta tempat di timur toko amal pak";0;0;09/05/2025 09:32;rinyrizki30;https://www.tiktok.com/@nurochmanheli/video/7498028616949828919;6,87832E+18;7,50227E+18;https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/2351b29f6ec1d3fd3608b067ccf68b36~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=367d541a&x-expires=1753326000&x-signature=DotDrWxMLhAX%2B7i2pBNhWpKuSwo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
datang tidak dianggap kalo mau pulang cepet-cepet minta uang parkirnya;167;9;16/07/2025 00:40;.hnaudio;https://www.tiktok.com/@ariefmemo7/video/7527198363377208584;7,13267E+18;7,52736E+18;https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/b029d43d810d348ed5403608441558ec~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=93d0c666&x-expires=1753326000&x-signature=AuqD9sQqvFdymDG7jLFUGJ4rXCk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
nanya warga batu saja,lbh setuju atau gak ada gate parkir,kalo nanya tukang parkirnya pasti menolak gate parkir😂😂;0;0;23/07/2025 09:56;whietapriyantto;https://www.tiktok.com/@ariefmemo7/video/7527198363377208584;7,10278E+18;7,53011E+18;https://p19-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/c6698e9c2bf76913cc7b5380bcc7de7e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=97191f06&x-expires=1753326000&x-signature=C9UVkgOk7MHy2sz45LTz3AO7fdI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
gate parkir itu lebih tepatnya Untuk lahan parkir yg tertutup/bukan jalan raya, jika lokasi parkirnya berupa jalan, bukan lahan khusus parkir, ya lebih baik tidak pakai gate parkir, kasihan yang hanya mau lewat, harus bayar seperti lewat tol.;25;3;16/07/2025 09:13;bennyheslax;https://www.tiktok.com/@ariefmemo7/video/7527198363377208584;6,58329E+18;7,5275E+18;https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-aiso/04a41a8dd3779261b461d4f926521be3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=224d17f6&x-expires=1753326000&x-signature=godyyIxdwuoojEykm%2BctP5kM35g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
pak wali di data ktp batu apa luar batu;3;0;17/07/2025 21:02;ir6732;https://www.tiktok.com/@ariefmemo7/video/7527198363377208584;7,12322E+18;7,52805E+18;https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/dbab92f442b126294e14d4d77006c6fb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8f5f0f07&x-expires=1753326000&x-signature=QdY56Yf0FkvT9%2F%2F6QVjBuaLTnLo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
parkir beli obat 3000 parkir 3000 .batu dikit dikit parkir;6;0;16/07/2025 18:22;sugiarno87;https://www.tiktok.com/@ariefmemo7/video/7527198363377208584;7,08753E+18;7,52764E+18;https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/160f8e5978081763f4966929ddd9f3b9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ffbc216c&x-expires=1753326000&x-signature=vHDA5ny4HJB1HdwO9TB4x4QYNYs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
intinya saya minta satu y jalan raya jgn buat parkir karena bikin macet,,,,!!!!!;1;0;16/07/2025 13:35;sonia_ajhe;https://www.tiktok.com/@ariefmemo7/video/7527198363377208584;6,86417E+18;7,52756E+18;https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/c669dd6b7ecdc36b3a55d6b515e0bbe5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=123c4d4c&x-expires=1753326000&x-signature=J%2BvMMuCcyKEn6o6%2Bah51zgv8CXY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8
