"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"coba buka lowongan kerja tanpa batas usia pak, biar ibu rumah tangga seperti saya jga bisa bekerja..😊😊","0","2","2025-04-20T11:45:25.000Z","dhewi_sarunii93","https://www.tiktok.com/@nurochmanheli/video/7495327569445735685","7417473067629216774","7495360069283218194","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/b502634dac692a3fb85b67c80202b41c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ae37835a&x-expires=1753408800&x-signature=gNA5bVB3qJzc5Jd5b%2BuEwOAbpq4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"kalau bisa jadikan kota batu seperti dulu pak adem sejuk asri gak kyk skrng panas bnget krna byknya bangunan"", batu sae 👍","6","2","2025-04-26T01:34:52.000Z","soniavernandezendel79","https://www.tiktok.com/@nurochmanheli/video/7497169183210245381","7040827675959641090","7497429229013877525","https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7f9cf1b29f29c8e3735d076e487390bf~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4f11a234&x-expires=1753408800&x-signature=mX6xxbiAuv1NlsDxIGAdoWsVDs8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"lo cak noo","1","0","2025-04-27T14:54:07.000Z","cak_ek","https://www.tiktok.com/@nurochmanheli/video/7497169183210245381","6550655985156718594","7498006253823820561","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/a1d2e269843d5b84a5f1359281b061e4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=139003ec&x-expires=1753408800&x-signature=8Io%2BHta0ZQyvcwfKwHY0BPLm4bk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"SAE. Keren. Salam datheng Bopo Yono nggih Pak Heli🙏","1","2","2025-04-26T06:32:06.000Z","wahyukusumawardhana","https://www.tiktok.com/@nurochmanheli/video/7497169183210245381","6950459864796562434","7497505833032123154","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/6b6c299ec22b0dd5b21b5d56c7a8ba01~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=96ce561a&x-expires=1753408800&x-signature=7KcpbKqVjPYtQIH37WGJSrAGr1U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"sehat sehat ngeh SAE 👍","1","0","2025-04-25T10:59:49.000Z","paktaufiqq","https://www.tiktok.com/@nurochmanheli/video/7497169183210245381","7144551145859810331","7497203733265793812","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/60c70366cbffe66ec2b86962df7835f2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d3a9e8df&x-expires=1753408800&x-signature=a2lvDQ0WzRJSsQTiab15nYWRYi4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Selalu lestari budaya jawa.Rahayu.","1","0","2025-04-25T09:09:17.000Z","mahe_hendra","https://www.tiktok.com/@nurochmanheli/video/7497169183210245381","6867378004353516546","7497175249051009810","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7be6b0278658b1ee7380e40440dd4a6f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=eef69914&x-expires=1753408800&x-signature=QwYzslu7BdJRTO%2Fuv1hRsXSBqSs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"ujutes sam nandur... nandur... nandur lindungi sumber mata air💪💪👍👍🙏🙏","1","1","2025-04-25T10:15:59.000Z","bambangsulistiyo783","https://www.tiktok.com/@nurochmanheli/video/7497169183210245381","7164759345775281154","7497192443403436808","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/887af2cf42d71933d0a8e71a029c1015~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7779405f&x-expires=1753408800&x-signature=%2Fppu1qaiOWpz7%2FWgAHkv5kybQyI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Pokok e josz, semoga sumber mata air di Kota Batu tetap lestari, SAE 🥰👍","1","2","2025-04-25T09:43:52.000Z","nimadefitri","https://www.tiktok.com/@nurochmanheli/video/7497169183210245381","7030321794243757062","7497184180414415624","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/27131b75dfdeb8156bc30c929c14b0d7~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=eddbdced&x-expires=1753408800&x-signature=T6pSQ9kzlHPr8zjnhJR61Cd0SjU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Sae....👍👍👍👍🥰🥰","0","0","2025-04-30T03:12:27.000Z","user5015449236651","https://www.tiktok.com/@nurochmanheli/video/7497169183210245381","6883108105543943169","7498938713151619847","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/29e781bd9477dd7520d23e8e2f214328~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3c57e296&x-expires=1753408800&x-signature=o%2Bradfmvgdk%2FgW29DVUCuN%2BIUVI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Sumber berlimpah rejeki barokah bpk wali kota sm wawali sehat Sukses","0","0","2025-05-04T06:08:09.000Z","bilatuananti","https://www.tiktok.com/@nurochmanheli/video/7497169183210245381","7160652617294775297","7500468341904884498","https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7183179575848304667~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=174ef6bd&x-expires=1753408800&x-signature=64zTmgTQTpEXtBBqqe7L9JoGXe0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
