id,no,tanggal_aduan,judul_klaim,aduanpantauan,jenis_materi,topik,sub_topik,lokasi,sub_lokasi,jenis_dismis_informasi,sumber_hoaks,kanal_aduan,media_rujukan
1,1,01/01/2022,DITEMUKAN HARIMAU JAWA DI JALUR CISAGA-RANCAH CIAMIS,ADUAN,VIDEO,FENOMENA,MAKHLUK HIDUP,JAWA BARAT,KABUPATEN CIAMIS,FALSE CONTEXT,YOUTUBE,INSTAGRAM,HARAPANRAKYAT
2,2,03/01/2022,GAGAL JANTUNG HINGGA STROK ADALAH GEJALA OMICRON,PANTAUAN,TEXT,KESEHATAN,CORONA,NASIONAL,NASIONAL,MISLEADING CONTENT,WHATSAPP,WHATSAPP,"ANTARANEWS, KOMINFO, PIKIRANRAKYAT"
3,3,03/01/2022,DIREKTUR JENDRAL WHO MEMPERINGATKAN MEMBERIKAN VAKSIN BOOSTER COVID-19 DAPAT MEMBUNUH ANAK-ANAK,PANTAUAN,VIDEO,KESEHATAN,CORONA - VAKSIN,INTERNATIONAL,INTERNATIONAL,FALSE CONTEXT,TWITTER,FACEBOOK,"AFP, KOMINFO"
4,4,03/01/2022,DAFTAR PERAWATAN UNTUK MEMBERSIHKAN TUBUH SETELAH VAKSINASI COVID-19,PANTAUAN,TEXT,KESEHATAN,CORONA - VAKSIN,INTERNATIONAL,INTERNATIONAL,MISLEADING CONTENT,FACEBOOK,FACEBOOK,"AFP, KOMINFO"
5,5,03/01/2022,HANAMASA TIDAK HALAL,ADUAN,LINK,PANGAN,MAKANAN,NASIONAL,NASIONAL,BENAR,INSTAGRAM,INSTAGRAM,JAWAPOS
6,6,03/01/2022,"WASPADA PENCULIKAN ANAK DENGAN MODUS PENJUAL, OM TELOLET, ORANG GILA, IBU HAMIL, PENGEMIS",ADUAN,GAMBAR,KRIMINALITAS,PENCULIKAN,NASIONAL,NASIONAL,FABRICATED CONTENT,WHATSAPP,WHATSAPP,0
7,7,03/01/2022,LOWONGAN KERJA PLAZA ASIA SUMEDANG DENGAN SYARAT VIDEO CALL SEX,PANTAUAN,TEXT,KRIMINALITAS,PENIPUAN,JAWA BARAT,KABUPATEN SUMEDANG,FABRICATED CONTENT,FACEBOOK,WEBSITE,"DETIK, KOMINFO, RUBERID"
8,8,04/01/2022,SPERMA PRIA YANG TAK DIVAKSIN BERHARGA DI MASA DEPAN,PANTAUAN,GAMBAR,KESEHATAN,CORONA - VAKSIN,NASIONAL,NASIONAL,FALSE CONTEXT,FACEBOOK,WEBSITE,"MAKASSARTERKINIID, KOMINFO"
9,9,05/01/2022,EDARAN KENAIKAN HARGA LPG YANG MENGATASNAMAKAN PERTAMINA,ADUAN,GAMBAR,EKONOMI,EKONOMI,NASIONAL,NASIONAL,BENAR,FACEBOOK,INSTAGRAM,0
10,10,05/01/2022,BUMI AKAN MENGALAMI FENOMENA APHELION,ADUAN,TEXT,FENOMENA,ALAM,NASIONAL,NASIONAL,MISLEADING CONTENT,FACEBOOK,INSTAGRAM,"KOMINFO, KOMPAS, LIPUTAN6"
11,11,06/01/2022,GULA MERAH LEBIH SEHAT KETIMBANG GULA PUTIH,ADUAN,TEXT,KESEHATAN,KESEHATAN,NASIONAL,NASIONAL,MISLEADING CONTENT,WHATSAPP,WHATSAPP,"LIPUTAN6, KLIKDOKTER"
12,12,06/01/2022,EDARAN KENAIKAN HARGA LPG YANG MENGATASNAMAKAN PERTAMINA,ADUAN,GAMBAR,EKONOMI,EKONOMI,NASIONAL,NASIONAL,BENAR,FACEBOOK,INSTAGRAM,"KOMPAS, EKONOMIBISNIS, LIPUTAN6"
13,13,06/01/2022,SELAMAT NOMOR ANDA MENDAPATKAN HADIAH CEK 155JUTA DARI GIVEAWAY TIK TOK 2021,ADUAN,TEXT,KRIMINALITAS,PENIPUAN,NASIONAL,NASIONAL,FABRICATED CONTENT,WHATSAPP,WHATSAPP,https://bit.ly/31wRceK
14,14,07/01/2022,PERAYAAN HUT PERTAMINA KE-55 MELALUI KUISIONER ANDA AKAN MEMILIKI KESEMPATAN UNTUK MENDAPATKAN RP 2.000.000,ADUAN,LINK,HUKUM DAN REGULASI,HUKUM DAN REGULASI,NASIONAL,NASIONAL,FABRICATED CONTENT,WHATSAPP,WHATSAPP,https://bit.ly/3qTHf3K
15,15,08/01/2022,"RI JOR-JORAN IMPOR CABAI: DARI CHINA, INDIA, SAMPAI SPANYOL!",ADUAN,LINK,EKONOMI,EKONOMI,NASIONAL,NASIONAL,BENAR,FACEBOOK,INSTAGRAM,CNBC
16,16,08/01/2022,AKUN WHATSAPP MENGATASNAMAKAN KAPOLDA JAWA BARAT AHMAD DOFIRI,ADUAN,LINK,KRIMINALITAS,PENIPUAN,JAWA BARAT,KOTA BANDUNG,IMPOSTER CONTENT,WHATSAPP,WHATSAPP,0
17,17,09/01/2022,"DENDA BAGI YANG MEMBERIKAN UANG KE ANAK JALANAN, PENGEMIS, GELANDANGAN",ADUAN,GAMBAR,HUKUM DAN REGULASI,HUKUM DAN REGULASI,NASIONAL,NASIONAL,BENAR,FACEBOOK,INSTAGRAM,"MAKASSARTERKINI, BPK"
18,18,09/01/2022,UST YUSUF MANSYUR DITANGKAP POLISI,ADUAN,VIDEO,HUKUM DAN REGULASI,HUKUM DAN REGULASI,NASIONAL,NASIONAL,FALSE CONNECTION,FACEBOOK,INSTAGRAM,"Tempo, Liputan6"
19,19,09/01/2022,LINK HADIAH RP 2 JUTA ULANG TAHUN KE 55 PERTAMINA,ADUAN,LINK,KRIMINALITAS,PENIPUAN,NASIONAL,NASIONAL,FABRICATED CONTENT,WEBSITE,INSTAGRAM,"KOMINFO, KOMPAS"
20,20,09/01/2022,LINK HADIAH RP 2 JUTA ULANG TAHUN KE 55 PERTAMINA,ADUAN,LINK,KRIMINALITAS,PENIPUAN,NASIONAL,NASIONAL,FABRICATED CONTENT,WEBSITE,INSTAGRAM,0
21,21,10/01/2022,LINK HADIAH RP 2 JUTA ULANG TAHUN KE 55 PERTAMINA,ADUAN,LINK,KRIMINALITAS,PENIPUAN,NASIONAL,NASIONAL,FABRICATED CONTENT,WEBSITE,WHATSAPP,0
22,22,10/01/2022,POLRES CIMAHI MERILIS FOTO PELAKU TINDAK PIDANA PEMBUNUHAN DI WILAYAH CIMAHI,ADUAN,GAMBAR,KRIMINALITAS,PEMBUNUHAN,JAWA BARAT,KOTA CIMAHI,BENAR,WHATSAPP,INSTAGRAM,MEDIAINDONESIA
23,23,10/01/2022,LOWONGAN KERJA TERKINI PT. ASTRA (GROUP),ADUAN,TEXT,KRIMINALITAS,PENIPUAN,NASIONAL,NASIONAL,FABRICATED CONTENT,WHATSAPP,WHATSAPP,.
24,24,11/01/2022,PLN PADAMKAN LISTRIK MULAI JANUARI 2022 AKIBAT KRISIS BATU BARA,PANTAUAN,GAMBAR,HUKUM DAN REGULASI,HUKUM DAN REGULASI,NASIONAL,NASIONAL,FABRICATED CONTENT,FACEBOOK,FACEBOOK,"LIPUTAN6, PLN"
25,25,11/01/2022,"DAFTAR PENERIMA BLT UMKM RP1,2 JUTA PADA JANUARI",PANTAUAN,GAMBAR,KRIMINALITAS,PENIPUAN,NASIONAL,NASIONAL,FABRICATED CONTENT,FACEBOOK,FACEBOOK,"ANTARA, KOMPAS, KONTAN, KOMINFO"
