 Jumlah Pasangan Subur Peserta KB,,,,
,,,,
 Jumlah Pasangan Usia Subur Peserta KB (Pasang),,,,
No,Kecamatan,2017,2018,2019
A,Kecamatan Batu,18571,18896,17278
1,Sumberjo,1.991,2.016,2.042
2,Songgokerto,1.351,1.361,1.398
3,Pesanggrahan,3.342,3.392,3.457
4,Ngaglik,2.175,2.224,2.268
5,Sisir,3.2,3266,3.342
6,Sidomulyo,1.684,1.715,1.763
7,Temas,2.712,2.757,2.842
8,Oro Oro Ombo,2.116,2.165,2.208
B,Kecamatan Bumiaji,12322,12741,13029
1,Giripurno,2.135,2.23,2.29
2,Pandanrejo,1.109,1.151,1.175
3,Bumiaji,1.374,1.412,1.437
4,Bulukerto,1.546,1.578,1.607
5,Punten,1.007,1.045,1.064
6,Tulungrejo,1.798,1.856,1.912
7,Sumbergondo,907,936,953
8,Gunungsari,1.468,1.514,1.553
9,Sumberbrantas,978,1.019,1.038
C,Kecamatan Junrejo,9647,9811,9770
1,Beji,1.507,1.531,1.533
2,Torongrejo,1.334,1.349,1.344
3,Pendem,1.897,1.944,1.924
4,Mojorejo,964,982,984
5,Tlekung,885,896,900
6,Junrejo,1.877,1.908,1.896
7,Dadaprejo,1.183,1.201,1.189
,Kota Batu,40540,41448,40077
,,,,
Jumlah Pasangan Usia Subur Belum Mengikuti KB (Pasang),,,,
No,Kecamatan,2017,2018,2019
A,Kecamatan Batu,2800,1985,1969
1,Sumberjo,277,205,187
2,Songgokerto,154,140,146
3,Pesanggrahan,586,380,390
4,Ngaglik,338,219,218
5,Sisir,393,357,337
6,Sidomulyo,199,183,175
7,Temas,549,292,298
8,Oro Oro Ombo,304,209,218
B,Kecamatan Bumiaji,1679,1.757,1701
1,Giripurno,333,338,325
2,Pandanrejo,148,155,151
3,Bumiaji,194,187,186
4,Bulukerto,198,223,210
5,Punten,126,140,132
6,Tulungrejo,239,255,260
7,Sumbergondo,121,132,122
8,Gunungsari,193,192,187
9,Sumberbrantas,127,135,128
C,Kecamatan Junrejo,1268,1273,1172
1,Beji,211,211,195
2,Torongrejo,169,166,160
3,Pendem,234,281,237
4,Mojorejo,104,101,93
5,Tlekung,91,82,82
6,Junrejo,301,290,269
7,Dadaprejo,158,142,136
,Kota Batu,5747,5015,4842
,,,,
"Sumber : Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, dan KB Kota Batu",,,,
